ID,IMAG1,IMAG2,IMAG3,IMAG4,IMAG5,EXPE1,EXPE2,EXPE3,QUAL1,QUAL2,QUAL3,QUAL4,QUAL5,QUAL6,QUAL7,QUAL8,QUAL9,VALU1,VALU2,SATI1,SATI2,SATI3,LOYA1,LOYA2
88,10,9,9,9,10,8,9,8,9,9,9,9,8,10,8,9,9,8,8,9,9,8,8,7
89,7,8,7,7,7,6,7,7,8,7,7,7,7,6,7,8,7,7,7,6,8,7,8,7
90,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
91,8,6,3,2,7,3,2,1,2,6,8,8,8,7,8,1,7,4,6,4,6,4,4,3
92,10,8,10,8,8,9,7,NA,9,10,NA,6,7,8,8,9,9,8,8,10,8,7,10,10
93,9,10,10,7,9,7,10,7,8,10,10,8,7,8,8,10,9,8,8,9,10,10,10,10
94,7,9,8,7,8,8,8,7,7,8,8,8,8,8,8,9,8,9,9,10,8,8,9,9
95,9,10,9,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10
96,9,9,8,9,9,8,8,9,9,9,9,9,9,9,8,9,7,5,6,7,8,7,8,8
97,8,8,8,7,7,8,9,8,9,9,9,9,8,9,8,9,9,8,7,8,8,7,8,8
98,10,10,10,8,7,7,7,10,8,8,6,8,6,10,10,8,10,8,10,8,8,10,10,10
#NAME?,6,10,6,6,10,5,4,2,6,7,2,7,5,7,7,7,7,6,6,6,6,6,7,6
#NAME?,7,9,6,6,8,7,8,8,8,8,7,7,7,8,7,8,7,7,8,9,8,7,10,8
#NAME?,10,10,8,9,10,8,10,8,10,7,8,10,10,10,10,7,8,8,10,8,9,9,10,10
#NAME?,6,8,6,7,8,6,7,7,8,7,6,6,7,7,7,8,7,6,6,7,7,6,6,7
#NAME?,3,5,5,1,5,5,4,2,1,2,5,4,NA,4,5,6,5,5,3,3,3,1,2,1
#NAME?,10,10,10,10,10,10,10,4,5,10,10,5,6,5,10,10,4,4,10,4,4,6,4,10
#NAME?,10,10,10,10,10,10,10,10,7,10,10,7,7,10,10,10,10,8,10,7,8,8,5,10
#NAME?,10,10,10,8,10,9,9,9,9,9,6,8,8,8,9,8,8,8,9,10,9,10,10,10
#NAME?,9,9,8,8,8,8,8,8,10,9,5,8,7,9,8,9,8,4,7,8,8,7,8,8
#NAME?,8,9,7,9,9,8,8,8,8,9,8,9,9,9,8,9,7,4,5,7,7,6,8,7
#NAME?,6,8,7,4,6,6,6,8,8,8,6,6,8,8,7,7,7,8,8,6,6,7,10,8
#NAME?,5,5,4,2,1,7,8,6,6,7,4,2,2,5,3,7,2,4,2,4,5,7,2,6
#NAME?,8,10,9,9,10,7,8,6,9,7,8,8,9,7,10,10,9,7,8,8,8,7,10,10
#NAME?,9,9,8,8,8,7,7,7,9,9,8,8,8,8,8,7,7,7,7,9,8,7,8,8
#NAME?,10,NA,10,10,NA,10,10,10,10,10,10,NA,10,10,10,8,10,10,8,10,10,10,10,NA
#NAME?,10,10,10,2,7,9,10,8,10,10,10,8,8,7,7,10,10,4,5,7,7,5,1,3
#NAME?,5,10,5,6,10,6,8,5,5,6,6,NA,NA,8,3,5,3,2,2,6,6,2,NA,2
#NAME?,8,7,7,6,9,8,8,7,7,6,6,7,7,6,6,8,6,6,6,7,7,8,7,6
#NAME?,8,9,8,7,8,6,6,5,8,8,8,NA,5,NA,8,9,8,5,5,6,7,5,10,5
#NAME?,6,10,10,10,10,5,8,5,7,5,10,5,7,8,10,7,5,6,5,7,6,5,6,8
#NAME?,8,6,6,6,6,7,6,8,7,8,8,8,6,8,6,10,6,6,7,8,7,3,8,9
#NAME?,8,10,8,10,10,10,10,8,10,8,8,10,8,10,10,7,10,1,5,10,8,8,8,10
#NAME?,8,8,9,9,9,9,8,8,9,9,9,9,8,8,8,8,5,10,1,8,2,10,10,10
#NAME?,10,4,10,10,5,5,6,4,7,7,5,3,4,4,5,8,4,6,4,5,8,4,7,5
#NAME?,6,8,8,8,8,7,8,7,8,8,7,9,7,7,8,8,7,10,10,8,10,2,10,10
#NAME?,8,10,10,8,9,10,8,9,10,9,6,8,9,8,8,10,8,6,7,7,9,7,7,6
#NAME?,5,7,5,3,7,5,4,2,5,6,8,7,7,5,7,7,7,5,1,5,6,10,10,5
#NAME?,8,7,10,6,10,8,10,6,10,10,10,9,10,8,8,7,6,5,7,9,8,10,9,10
#NAME?,9,8,7,8,NA,NA,10,7,NA,10,6,8,NA,8,10,8,10,8,6,8,8,NA,NA,NA
#NAME?,10,10,10,5,5,10,10,10,9,10,5,NA,5,5,10,10,5,5,10,10,10,10,10,10
#NAME?,8,8,8,7,8,6,7,5,8,8,7,7,6,9,7,9,7,5,5,10,8,5,7,7
#NAME?,8,9,9,8,10,8,9,8,9,8,8,9,9,9,8,9,8,8,8,8,9,7,8,8
#NAME?,8,10,9,10,10,10,9,9,10,10,10,10,10,10,9,10,10,8,10,10,10,10,10,10
#NAME?,10,10,9,10,10,10,10,9,10,10,10,9,9,9,10,10,9,9,10,10,10,10,10,10
#NAME?,7,10,10,8,8,10,8,10,8,6,8,10,8,8,7,6,8,7,6,6,6,5,7,5
#NAME?,7,7,8,5,6,7,6,7,8,6,8,7,6,7,6,6,6,6,6,5,7,6,5,5
#NAME?,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
#NAME?,10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,10,6,10,8,6,10,8,10,10,10
#NAME?,8,9,7,7,10,9,9,8,9,9,7,9,9,8,8,8,6,6,6,9,9,8,8,9
